,0
0,VOLKSWAGEN
1,PEUGEOT
2,RENAULT
3,TOYOTA
4,FORD
5,FIAT
6,CHEVROLET
7,JEEP
8,CITROEN
9,HONDA
10,AUDI
11,SUZUKI
12,CHERY
13,DODGE
14,NISSAN
15,BMW
16,MERCEDES BENZ
17,HYUNDAI
18,KIA
19,ALFA ROMEO
20,DS
21,CHRYSLER
22,MITSUBISHI
23,MINI
