,0
120,Cabina Extendida 1.6 Safety Pack Elec.(101cv) (L13) 
121,Fire 1.4 Pack Top 5Ptas.
122,4Ptas. 1.4 N LT Spirit
123,1.8 i-VTEC LX CVT 2WD (140cv) (L20)
124,2.0 Trendline Tiptronic
125,Attractive 1.4 Pack Top 5Ptas. (85cv) (L12)
126,Max 4Ptas. 1.6 N Edge Plus
127,Working C/Simple 1.4 AA Seguridad (L14)
128,1.8 AT Longitude (128cv) (L19)
129,Max 4Ptas. 1.6 N Ambiente
130,Variant 1.4 TSI Highline DSG (150cv) (L15)
131,1.5 SE (105cv) 5Ptas.
132,2.0 Luxe Pack CVT (143cv)
133,2.0 Freedom 4x4 9AT Cab/Doble Pack Technology
134,GLS 2.0 16v
135,5Ptas.- 1.6 16v X Pack Look (110cv)
136,2.4 EX AT
137,2.0 16v 6MT Intens Bitono Nav. Evo. (143cv)
138,1.6 16v. Allure MT (115cv)
139,5Ptas. 1.6 N Ambiente AT
140,5Ptas. Edge 1.6 MP3
141,Max 4Ptas. 1.6 N Ambiente Plus
142,1.6 MSI 5Ptas. Comfortline (101cv) (L17)
143,Essence 1.6 MT 5Ptas. (115cv) (L12)
144,2.0 Outsider Plus 4x4 (143cv)
145,1.8 EXS AT Sedán (140cv) (L06)
146,Fase II 1.6 4x2 Dynamique (110cv) DISCONTINUO
147,1.8 N 8v GL Plus
148,Allure+ 1.6 HDi MT (115cv) 4Ptas.
149,4x2 CD SRX 2.8 TDI 6AT (177cv) (L18)
150,1.6 Conceptline (101cv) (L08)
151,1.6 4x2 Confort ABS (110cv)
152,II EXE 4Ptas. 2.0 N Ghia AT (L08)
153,4Ptas.- 2.0 Hdi SX (110cv)
154,3Ptas. 1.2 Expression / Pack / Authentique (75cv)
155,1.6 Confort
156,Cabina Doble 1.6 Pack High (101cv) (L13) 
157,Adventure C/Doble 3Ptas. 1.6 Pack Top / Serie
158,1.6i THP 6AT Tendance (165cv) 
159,1.6 S MT (125cv) 5Ptas. (L15)
160,Fase II 1.6 8v Authentique Pack I ABS (90cv)
161,XLI 1.8 CVT(140cv) (L18)
162,Variant 1.6 MT Trendline (110cv) (L15)
163,1.8 AT Sport Plus (128cv)
164,GL 2.0 8v
165,3.0 TDI C/D 4x4 SRV AT Cuero (171cv)
166,1.0 Easy Pack Top (75cv)
167,Patagónica 1.6 Hdi VTC Plus (90cv) (L10)
168,Fase II 1.6 8v Expression ABS (90cv)
169,1.0 Iconic (66cv)
170,2.0 Privilege CVT Cuero (143cv)
171,2.0 TFSi S-Tronic Quattro (211cv)
172,Fire 1.3 Pack 2 / Pack B / Confort AA s/DA (68cv) 5Ptas.
173,2.0 GTI DSG App Connect Cuero (220cv) (L15)
174,2.0 TSi GLI MT NAV (211cv) (L16) 
175,XLI 1.8 MT (140cv) (L18)
176,4x2 CD DX 2.4 TDI 6MT (150cv) (L18)
177,Furgón 1.9 D Pack
178,2.5 N C/Simple 4x2 XL 5MT (166cv) (L20)
179,Compact SW 1.6 N XS (110cv)
180,1.6 THP Sport Tiptronic (165cv) (L20)
181,SW XS Premium 1.6
182,Allure 2.0 MT NAV (143cv) 4Ptas.
183,1.4 HDi SX
184,4x2 CD SR 2.4 TDI 6MT (150cv) (L18)
185,5Ptas. 2.0 Hdi XS Premium (110cv) (L06)
186,1.4 ELX Fire AA DA (L06)
187,1.8 AT Precision Pack Premium (130cv)
188,Sport 2.4 Nafta MT
189,1.4 N 8v LT Spirit (92cv) 3Ptas.
190,Fase II 1.6 4x2 Privilege (110cv) DISCONTINUO
191,1.0 Way (75cv)
192,Sportback 1.6 (102cv) MT
193,1.6 MSi Trendline Tiptronic (110cv) (L18) 5Ptas.
194,1.6 Comfortline Tiptronic (105cv) (L15) 4Ptas.
195,1.6 Active (L20)
196,1.4 8v Cult MT (85cv)
197,1.6 Comfortline Plus (101cv)
198,SXT 2.4 3 Filas
199,4x4 CD SR 2.8 TDI 6MT (177cv) (L16)
200,1.6 MSI 5Ptas. Serie (101cv) (L17) 
201,1.4 8v. Dynamic 
202,1.0 Zen (66cv)
203,2.0 SE Plus MT (170cv) 4Ptas.
204,Fase II 1.6 16v Privilege NAV (105cv)
205,1.6 Confort Plus MT (110cv)
206,II 5Ptas. 1.6 Sigma Trend
207,XEI 1.8 MT (140cv) (L18)
208,5Ptas. Visia 1.8 (126cv)
209,1.6 Highline (101cv) (MY14 ABG ABS) 
210,Cabina Extendida 1.6 N Pack High / Pack Elec. + Seg. (101cv) (L13) 
211,II - 1.6 16v Dynamique (105cv)
212,2.5 R5 Advance Plus Tiptronic (170cv)
213,2.0 SE Plus MT (170cv) 5Ptas. (L15)
214,2.8 TD DLX 4x2
215,3.0 TDI C/D 4x4 SR (171cv)
216,II 5Ptas. 2.0 N Trend Plus (L08)
217,330i Sedán Executive
218,1.8 N 8v GL AA DA
219,1.6 Advance Ed.Limitada UEFA CVT (120cv) DISCONTINUO
220,2.0 TDI (180cv) 4x4 C/Doble Trendline AT 
221,2.0 EX-L CVT PaddleShift 7 Sedán (154cv) (L17) DISCONTINUO
222,Attractive 1.4 MT
223,2.8 CTDI C/Doble 4x2 LS (200cv) (L16)
224,2.0 TDI Luxury DSG (140cv) (L11)
225,1.6 MSi Comfortline Plus Tiptronic (110cv) (L18) 5Ptas. DISCONTINUO
226,3.0 TDI C/D 4x2 SRV (171cv)
227,2.0 TDI (180cv) 4x2 C/Doble Comfortline (L17)
228,1.5 SEL (105cv) 4Ptas.
229,SE-G 1.8 AT (136cv) (L12)
230,GSI 2.4 16v 5Ptas.
231,Max 4Ptas. 1.6 N Ambiente AT
232,5Ptas. 1.4 Active / EdG Géneration
233,5Ptas.- 1.6 16v X (110cv)
234,1.8 N 8v GLS
235,II - 1.6 8v. Expression (85cv) (L14)
236,325i Coupé Executive
237,2.5 TDI C/D 4x4 DX Pack 2ABG ABS (120cv)
238,1.4 8v. Active
239,1.6 HDI 6MT Feel Pack (115cv) (L16)
240,1.3 Drive MT (99cv)
241,Feline 1.6 THP Tiptronic (163cv) 5Ptas. (L16) DICONTINUO
242,Feline 1.6 HDi MT (115cv) 4Ptas.
243,2.0 TDI (180cv) 4x4 C/Doble Highline
244,Patagónica 1.6 N 16v. VTC Plus (110cv) (L10)
245,4Ptas. Tekna 1.8 Full (124cv)
246,1.9 SDI Comfortline
247,1.4 N 8v LS Spirit (92cv) 5Ptas.
248,1.6 16v MT Essence Emotion 5Ptas. (115cv) (L13)
249,1.4 Attractive / ELX Pack Top 5Ptas. (87cv)
250,5Ptas.- 1.6 16v X Pack Plus (110cv)
251,1.5 N 8v Allure Touch (90cv) 
252,135i Sportive Coupé (306cv) (L06)
253,1.0 Easy (75cv)
254,2.0 4x2 6MT Luxe NAV (138cv)
255,1.6 5Ptas. Pack I Plus I-Motion (101cv)
256,1.4 N 8v Advantage AA DA (92cv) 5Ptas. (L13)
257,1.6 VTi 115 Exclusive (L12)
258,1.6 Exclusive Bitono CVT (120cv) DISCONTINUO
259,2.0 Ecoboost Titanium AT (240cv) (L15)
260,2.0 TDI (180cv) 4x2 C/Doble Highline
261,II - 1.6 16v Privilege Pack (105cv)
262,328i Sedán Sport/Luxury (245cv) (L12)
263,A200 BlueEfficiency AT Urban (156cv) (L13)
264,220i Coupé Sport (184cv)
265,1.6 THP GTI (208cv) 3Ptas. (L18)
266,Fase II 1.6 4x2 Expression (110cv) DISCONTINUO
267,2.5T AT Titanium 4x4
268,3Ptas. 1.2 Dynamique (75cv)
269,1.6 Dynamique (110cv)
270,1.8 Freedom 4x2 AT6 Cab/Doble (130cv) (L19) DISCONTINUO
271,1.4 LTZ / LTZ Spirit 5Ptas.
272,3Ptas. 1.2 Confort / Expression Pack I (75cv)
273,2.0 TDI Elegance DSG (140cv)
274,Fase II 2.0 4x2 6MT Privilege (143cv) DISCONTINUO
275,2.0 Freedom 4x2 6MT Cab/Doble
276,1.5 LX MT 2ABG (120cv)
277,Wagon 1.4/1.6 N GLS
278,1.8 8v. LS AA DA (105cv) DISCONTINUO
279,Feline 2.0 MT (143cv) 4Ptas.
280,1.8 MT Sport Plus (128cv)
281,1.6 XLS MP3 (L08)
282,1.4 TSI DSG (160cv)
283,1.6 SE Plus MT (120cv) 5Ptas.
284,1.6 MSI Trendline (101cv) (L20) DISCONTINUO
285,2500 Laramie TD AT 4x4 C/Doble (325hp)
286,1.6 MSI Comfortline (L18)
287,1.6 Expression
288,2.0 4x4 6MT Luxe NAV (138cv)
289,1.6 5Ptas. Trendline
290,5Ptas. 1.8 Nafta GL AA DA
291,1.8 LXS AT Sedán (140cv) (L06)
292,2.0i Tendance (143cv)
293,2.4 EXL AT (182cv) (L 03)
294,2.0 Privilege (143cv)
295,1.8 LXS MT Sedán (140cv) (L06)
296,XLI 1.8 MT (136cv) (L12)
297,1.6 16v SX (L11)
298,1.6i Exclusive
299,2.0 Dynamique 6MT 6ABG ABS (143cv)
300,1.6 LTZ (115cv) 4Ptas.
301,1.6 Advance (107cv) 4Ptas.
302,1.5 S (105cv) 4Ptas.
303,1.0 Fly Plus (L/08)
304,1.8 EXS MT Sedán (140cv) (L06)
305,1.6 VTi 115 Exclusive (L13)
306,5Ptas. 1.4 TD Edge
307,4Ptas.- 2.0i 16v Exclusive AT (BVA) (143cv)
308,1.0 AA 3Ptas.
309,Cargo Fire 1.3 AA DA (68cv) 3Ptas.
310,5Ptas. 1.2 Confort ABS ABCP (75cv)
311,Sportback 1.4 TFSI (125cv) MT Cuero Premium
312,PH3 1.6 Sportway 2PLC
313,Fase II 2.0 4x4 6MT Privilege (143cv) DISCONTINUO
314,Feline 1.6 THP MT (163cv) 5Ptas. (L16)
315,2.0 TDI (163cv) 4x4 C/Doble Highline Pack
316,1.6 THP Shine AT (165cv) (L18)
317,2.0 16v 6MT Zen (143cv)
318,3Ptas. 1.6 N Full AA DH
319,Coupé 1.8T FSI MT Premium / Sport (160cv)
320,2.0 TD Limited Plus AT9 4x4 (170cv) (L19)
321,5Ptas. Ghia 2.0 Nafta
322,2.0 Ecoboost SE AT (240cv) (L15)
323,4Ptas. 2.4 CD MT 16v
324,2.4 Longitude AT9 AWD (174cv) (L17)
325,2.0 Si 6MT Sedán (200cv) (L06)
326,Multispace 1.6 HDI XTR (92cv) (L17)
327,5Ptas. 2.0 N XS Premium (143cv)
328,Limited 3.6 V6 AT (286hp) (L11)
329,1.0 N Light Security (68cv) 5Ptas. (L16)
330,Fase II 1.6 16v Expression / Confort (105cv)
331,1.6 HDI Tendance (115cv) 
332,1.6i THP 6AT Exclusive P.Select (163cv)
333,1.4 8v. Active PLC
334,1.6 MSi Highline MT (110cv) (L18) 5Ptas.
335,1.8 8v. LT MT (105cv)
336,1.6 5Ptas. Comfortline
337,3.0 TDI C/D 4x4 SRV 5AT Cuero (171cv) (L13)
338,1.6 Outsider HR (115cv) (L21)
339,4Ptas. 1.4 N LS Pack
340,118i Sport (136cv) 5Ptas.(L16)
341,1.7 TD GLS
342,Limited 3.7 Nafta AT (L08)
343,Weekend 1.4 Attractive (ELX) Top / Class / Active II
344,1.0 N Confort Security (68cv) 5Ptas. (L16)
345,35i xDrive 3.0 Sportive (306cv)
346,1.6 Comfort 4x2 (125cv)
347,1.4 TFSI (150cv) MT 3Ptas.
348,3Ptas. 1.4 X-Line - Serie Limitada
349,Furgón 1.6 HDI Business Mixto (92cv) (L17)
350,Allure Plus 1.6 THP MT (163cv) 4Ptas. (L20)
351,1.0 Tsi Pepper Up! (101cv) 5Ptas. (L19)
352,5Ptas. GT 2.0 GLS 8v
353,1.2 Puretech S&S AT6 Shine (110cv)
354,1.4 TFSi S-Tronic S-Line (185cv)
355,1.6 SE Plus Powershift (120cv) 4Ptas.
356,GTI 5Ptas. 1.6 THP 6MT (200cv)
357,1.6 Authentique / Pack Plus GNC CD AA DA
358,2.5 N C/Doble 4x2 XLT 6MT (166cv) (L20)
359,2.0 TDI (180cv) 4x2 C/Doble Comfortline AT (L17)
360,3.0 TDI C/D 4x4 XL Plus \ MP3 (L05)
361,PH3 1.6 Authentique Plus 2PLC
362,2.8 CTDI C/Doble 4x2 LT (200cv) (L16)
363,3.0 TDI C/D 4x2 SRV Cuero (171cv)
364,Abarth 1.4T 595 Turismo (165cv) (L18)
365,1.4 TSi Trendline DSG (150cv)
366,1.6T Feline Tiptronic (156cv)
367,1.5 Confort MT (115cv) 4Ptas.
368,1.6T Premium Plus 6MT (156cv)
369,2.0 TSI Sport & Style Tiptronic (L16)
370,1.6 THP 6AT Shine (165cv) (L16)
371,Compact 5Ptas. 1.4 N Quiksilver (75cv)
372,2.0 TSI DSG GTS (211cv)
373,1.6 LT (115cv) 4Ptas.
374,1.8 Precision MT (130cv)
